fighter,date_of_birth,tuf,r2ufc,dwcs,pride,sf,wec,bmf,hof,country,gender,weightclass,peak_rank,peak_p4p,bouts,wins,win_types,losses,loss_types,streak,best_streak,total_time,mean_age,opp_age,bonus,slot,elo,peak_elo,opp_elo,debut,debut_result,prev_bout,prev_result
Jon Jones,1987-07-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"heavyweight, light heavyweight",-1,1,24,22,6 KO 6 Sub 10 Dec,1,0 KO 0 Sub 0 Dec,6,13,21408,26.8,33,9,1.8,3662,3662,3046,2008-08-09,W - Andre Gusmao,2024-11-16,W - Stipe Miocic
Khabib Nurmagomedov,1988-09-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Russia,male,lightweight,-1,1,13,13,2 KO 5 Sub 6 Dec,0,0 KO 0 Sub 0 Dec,13,13,10315,27.3,30.4,3,4.1,3648,3648,3034,2012-01-20,W - Kamal Shalorus,2020-10-24,W - Justin Gaethje
Stipe Miocic,1982-08-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Croatia, United States",male,heavyweight,-1,2,19,14,9 KO 0 Sub 5 Dec,5,4 KO 0 Sub 1 Dec,-2,6,12942,33.7,34.6,9,1.8,3391,3603,3108,2011-10-08,W - Joey Beltran,2024-11-16,L - Jon Jones
Francis Ngannou,1986-09-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Cameroon, France",male,heavyweight,-1,4,14,12,10 KO 1 Sub 1 Dec,2,0 KO 0 Sub 2 Dec,6,6,5892,31.8,33.4,6,2.6,3613,3601,3042,2015-12-19,W - Luis Henrique Barbosa,2022-01-22,W - Ciryl Gane
Daniel Cormier,1979-03-20,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,United States,male,heavyweight,-1,1,15,11,3 KO 4 Sub 4 Dec,3,1 KO 0 Sub 2 Dec,-2,4,12445,37.4,34.2,5,1.5,3366,3599,3182,2013-04-20,W - Frank Mir,2020-08-15,L - Stipe Miocic
Georges St-Pierre,1981-05-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Canada,male,"middleweight, welterweight",-1,2,22,20,5 KO 3 Sub 12 Dec,2,1 KO 1 Sub 0 Dec,13,13,20555,27.3,30.4,7,2.3,3536,3536,2918,2004-01-31,W - Karo Parisyan,2017-11-04,W - Michael Bisping
Dustin Poirier,1989-01-19,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,United States,male,lightweight,0,5,32,22,11 KO 4 Sub 7 Dec,9,3 KO 4 Sub 2 Dec,-2,4,20902,28.3,29.6,15,3.2,3284,3535,3012,2011-01-01,W - Josh Grispi,2025-07-19,L - Max Holloway
Tyron Woodley,1982-04-07,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,United States,male,welterweight,-1,6,16,9,5 KO 1 Sub 3 Dec,6,1 KO 1 Sub 4 Dec,-4,3,13201,34.4,32.1,6,2.4,3044,3487,3161,2013-02-02,W - Jay Hieron,2021-03-27,L - Vicente Luque
Chris Weidman,1984-06-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,United States,male,middleweight,-1,2,20,12,4 KO 3 Sub 5 Dec,8,7 KO 0 Sub 1 Dec,-1,9,12094,32.4,34.2,7,3.2,2785,3473,3032,2011-03-03,W - Alessio Sakara,2024-12-07,L - Eryk Anders
Glover Teixeira,1979-10-28,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Brazil, United States",male,light heavyweight,-1,8,23,16,6 KO 7 Sub 3 Dec,7,2 KO 1 Sub 4 Dec,-2,6,15906,37.4,31.5,10,2.5,3147,3460,2986,2012-05-26,W - Kyle Kingsbury,2023-01-21,L - Jamahal Hill
Tony Ferguson,1984-02-12,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Mexico, United States",male,"welterweight, lightweight",0,9,24,15,5 KO 6 Sub 4 Dec,9,2 KO 3 Sub 4 Dec,-8,12,16292,33.4,31.9,11,3.4,2727,3460,2923,2011-06-04,W - Ramsey Nijem,2024-08-03,L - Michael Chiesa
Colby Covington,1988-02-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,0,16,17,12,2 KO 3 Sub 7 Dec,5,2 KO 1 Sub 2 Dec,-2,7,17285,30.6,32.7,2,4.6,3259,3453,3054,2014-08-22,W - Anying Wang,2024-12-14,L - Joaquin Buckley
Anderson Silva,1975-04-14,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Brazil,male,middleweight,-1,1,25,17,11 KO 3 Sub 3 Dec,7,4 KO 0 Sub 3 Dec,-3,16,16250,36.7,32.2,14,1.2,2790,3444,2960,2006-06-28,W - Chris Leben,2020-10-31,L - Uriah Hall
Gilbert Burns,1986-07-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,welterweight,1,16,25,15,3 KO 5 Sub 7 Dec,10,5 KO 0 Sub 5 Dec,-5,6,18518,33.5,31.7,5,5,2929,3435,3002,2014-07-26,W - Andreas Stahl,2026-04-18,L - Mike Malott
Henry Cejudo,1987-02-09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,-1,3,16,10,4 KO 0 Sub 6 Dec,6,1 KO 0 Sub 5 Dec,-4,6,13115,32,30.7,4,3.2,2970,3433,3044,2014-12-13,W - Dustin Kimura,2025-12-06,L - Payton Talbott
