snapshot_date,division,is_women,rank,fighter_name_raw,source_url
2017-01-06,flyweight,False,0,Demetrious Johnson,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,flyweight,False,1,Joseph Benavidez,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,flyweight,False,2,Henry Cejudo,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,flyweight,False,3,Kyoji Horiguchi,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,flyweight,False,4,Jussier Formiga,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,flyweight,False,5,Wilson Reis,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,flyweight,False,6,Ian McCall,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,flyweight,False,7,Ali Bagautinov,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,flyweight,False,8,John Moraga,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,flyweight,False,9,Dustin Ortiz,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,flyweight,False,10,Ray Borg,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,flyweight,False,11,Brandon Moreno,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,flyweight,False,12,Zach Makovsky,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,flyweight,False,13,Louis Smolka,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,flyweight,False,14,Tim Elliott,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,flyweight,False,15,Sergio Pettis,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,bantamweight,False,0,Cody Garbrandt,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,bantamweight,False,1,Dominick Cruz,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,bantamweight,False,2,TJ Dillashaw,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,bantamweight,False,3,John Lineker,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,bantamweight,False,4,Raphael Assuncao,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,bantamweight,False,5,Bryan Caraway,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,bantamweight,False,6,Jimmie Rivera,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,bantamweight,False,7,Aljamain Sterling,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,bantamweight,False,8,Michael McDonald,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,bantamweight,False,9,John Dodson,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
2017-01-06,bantamweight,False,10,Thomas Almeida,https://web.archive.org/web/20170106000000/https://www.ufc.com/rankings
